region_id,region_name,year,crop_id,area,production,yield
UA00,Ukraine,2020,270,310.3,6000,19.3
UA00,Ukraine,2021,30,15948.4,860104.4,53.9
UA00,Ukraine,2021,50,6903.1,313689.3,45.4
UA00,Ukraine,2021,80,187.1,7820.9,41.7
UA00,Ukraine,2021,130,1137.2,48557.4,42.7
UA00,Ukraine,2021,140,1334.9,45812.8,34.3
UA00,Ukraine,2021,160,170.6,5906.2,34.6
UA00,Ukraine,2021,211,7090.2,321510.2,45.3
UA00,Ukraine,2021,213,2472.1,94370.2,38.2
UA00,Ukraine,2021,214,171.6,5931.5,34.5
UA00,Ukraine,2021,215,178,4679,26.2
UA00,Ukraine,2021,216,5481.8,421098.5,76.8
UA00,Ukraine,2021,220,91.9,1057.8,11.5
UA00,Ukraine,2021,222,226.6,108538.8,479.1
UA00,Ukraine,2021,231,6665.1,163924.1,24.6
UA00,Ukraine,2021,232,1004.5,29389.4,29.3
UA00,Ukraine,2021,233,1322.9,34932,26.4
UA00,Ukraine,2021,240,87.1,2049.9,23.5
UA00,Ukraine,2021,250,10.1,494.8,49.3
UA00,Ukraine,2021,270,310.7,6806,21.9
UA00,Ukraine,2022,30,11772.9,538637.1,45.8
UA00,Ukraine,2022,50,5065,199067.4,39.3
UA00,Ukraine,2022,80,216.5,8225,38
UA00,Ukraine,2022,130,806.5,26633.2,33
UA00,Ukraine,2022,140,933.7,29448.5,31.5
UA00,Ukraine,2022,160,100.2,3086.3,30.8
UA00,Ukraine,2022,211,5281.5,207292.4,39.3
UA00,Ukraine,2022,213,1740.2,56081.7,32.2
UA00,Ukraine,2022,214,101.5,3140.3,30.9
UA00,Ukraine,2022,215,153.5,3785.1,24.6
UA00,Ukraine,2022,216,4124.5,261869.3,63.5
UA00,Ukraine,2022,220,121,1476.9,12.2
UA00,Ukraine,2022,222,183.8,99414.6,541.2
UA00,Ukraine,2022,231,5238,113287.4,21.6
UA00,Ukraine,2022,232,1156.2,33179.8,28.7
UA00,Ukraine,2022,233,1527.2,34438,22.6
UA00,Ukraine,2022,240,49.1,905.8,18.4
UA00,Ukraine,2022,250,0.7,30.9,41.7
UA00,Ukraine,2022,270,174.1,3341.7,19.1
UA00,Ukraine,2023,30,10835.9,597722.2,55.2
UA00,Ukraine,2023,50,4466.1,208561.9,46.7
UA00,Ukraine,2023,80,192.3,7689.8,40
UA00,Ukraine,2023,130,613,24893.2,40.6
UA00,Ukraine,2023,140,881.3,30178.7,34.2
UA00,Ukraine,2023,160,78,2297.9,29.4
UA00,Ukraine,2023,211,4658.4,216251.7,46.4
UA00,Ukraine,2023,213,1494.3,55071.9,36.9
UA00,Ukraine,2023,214,78.4,2311.8,29.4
UA00,Ukraine,2023,215,164.8,4272.7,25.9
UA00,Ukraine,2023,216,3975.2,310304.4,78.1
UA00,Ukraine,2023,220,147.9,2107.2,14.2
UA00,Ukraine,2023,222,250.1,131297.1,525.3
UA00,Ukraine,2023,231,5201.6,127596.9,24.5
UA00,Ukraine,2023,232,1431.6,41836.5,29.2
UA00,Ukraine,2023,233,1834,47425.5,25.9
UA00,Ukraine,2023,240,87.9,2035.2,23.1
UA00,Ukraine,2023,250,2.2,110.8,49.9
UA00,Ukraine,2023,270,205.5,4605.9,22.4
UA05,Vinnytska,2010,30,843.7,31113.4,36.9
